places,placeid,user,userid,ratings
Bouddhanath,18,Ian B,1,4
Bouddhanath,18,Vani W,2,3.5
Bouddhanath,18,Gautam05,3,4.5
Bouddhanath,18,Deepak B,4,3
Bouddhanath,18,Jayesh M,5,3.5
Bouddhanath,18,karranjitsingh,6,4
Bouddhanath,18,im L,7,4
Bouddhanath,18,NepalTourTrek,8,4.5
Bouddhanath,18,john henry,9,5
Bouddhanath,18,drleemac,10,3.5
Bouddhanath,18,Alice B,11,4
Bouddhanath,18,downhillcyclist,12,4
Bouddhanath,18,SUNU PO,13,4
Bouddhanath,18,annminky,14,4
Bouddhanath,18,tarit1979,15,4.5
Bouddhanath,18,SirZec,16,4
Bouddhanath,18,Kumar H,17,4
Bouddhanath,18,Jacob M,18,4
Bouddhanath,18,G RAJENDRAN,19,5
Bouddhanath,18,ratu b,20,4.5
Bouddhanath,18,Cindy W,21,5
Bouddhanath,18,omaryelias,22,5
Bouddhanath,18,Suva Tours and Travels Pvt.Ltd,23,5
Bouddhanath,18,cmarcov,24,4.5
Bouddhanath,18,Toru O,25,4
Bouddhanath,18,smvNYC,26,4
Bouddhanath,18,Hong Leung,27,3.5
Bouddhanath,18,Harappa Tour & Travel,28,3.5
Bouddhanath,18,Sameer G,29,4
Bouddhanath,18,latikabishnoi02,30,4.5
Pashupatinath Temple,87,SUNU PO,13,4
Pashupatinath Temple,87,annminky,14,4.5
Pashupatinath Temple,87,Gunti,31,3
Pashupatinath Temple,87,Sanjay,32,3.5
Pashupatinath Temple,87,tarit1979,15,3
Pashupatinath Temple,87,Yogesh L,33,3
Pashupatinath Temple,87,Tom B,34,5
Pashupatinath Temple,87,MEG,35,4.5
Pashupatinath Temple,87,Kumar H,17,4
Pashupatinath Temple,87,maccer j,36,5
Pashupatinath Temple,87,lynne A,37,3
Pashupatinath Temple,87,Gautam05,3,3.5
Pashupatinath Temple,87,Jayesh M,5,4
Pashupatinath Temple,87,K Niaz Morshed,38,4.5
Pashupatinath Temple,87,Wen A,39,5
Pashupatinath Temple,87,Ganesh Srinivasan,40,5
Pashupatinath Temple,87,downhillcyclist,12,5
Pashupatinath Temple,87,annminky,14,4
Pashupatinath Temple,87,Gunti,31,4
Swayambhunath Temple,101,Mags,41,4.5
Swayambhunath Temple,101,James H,42,4.5
Swayambhunath Temple,101,annminky,14,5
Swayambhunath Temple,101,taylor m,43,5
Swayambhunath Temple,101,Eva H,44,3.5
Swayambhunath Temple,101,Tom B,34,3.5
Swayambhunath Temple,101,Adele T,45,3
Swayambhunath Temple,101,michaeltravelssome,46,3
Swayambhunath Temple,101,Ramakrishna Alur,47,4
Swayambhunath Temple,101,Jacob M,18,4
Swayambhunath Temple,101,Rajendra K,48,4
Swayambhunath Temple,101,TR@VIS SC0TT,49,4.5
Swayambhunath Temple,101,Rk Singh,50,4.5
Swayambhunath Temple,101,Sgrg069,51,4.5
Swayambhunath Temple,101,Michelle S,52,3
Swayambhunath Temple,101,Gautam05,3,3.5
Swayambhunath Temple,101,Jayesh M,5,3.5
Swayambhunath Temple,101,Steffanie D,53,3.5
Swayambhunath Temple,101,im L,7,3.5
Swayambhunath Temple,101,Ganesh Srinivasan,40,4
Thamel,106,Fazal Mahmud Roni,54,3
Thamel,106,brian r,55,3
Thamel,106,Global823893,56,3
Thamel,106,Beses NRN,57,3.5
Thamel,106,SUNU PO,13,3.5
Thamel,106,VineNFigTree,58,4
Thamel,106,tarit1979,15,4
Thamel,106,annminky,14,4.5
Thamel,106,Austin F,59,4.5
Thamel,106,cmarcov,24,4.5
Thamel,106,VineNFigTree,58,3
Thamel,106,annminky,14,3
Thamel,106,Austin F,59,3.5
Thamel,106,smvNYC,26,3.5
Thamel,106,Jhon S,60,3.5
Thamel,106,angelarK8845KX,61,4.5
Kathmandu Durbar Square,59,downhillcyclist,12,5
Kathmandu Durbar Square,59,annminky,14,5
Kathmandu Durbar Square,59,tarit1979,15,4.5
Kathmandu Durbar Square,59,Tom B,34,4.5
Kathmandu Durbar Square,59,ratu b,20,4.5
Kathmandu Durbar Square,59,Max W,62,4.5
Kathmandu Durbar Square,59,MalawiExpat,63,4
Kathmandu Durbar Square,59,Ishan R,64,4
Kathmandu Durbar Square,59,Sharma Ji,65,4
Kathmandu Durbar Square,59,cmarcov,24,4
Kathmandu Durbar Square,59,Michelle S,52,4.5
Kathmandu Durbar Square,59,Gautam05,3,3
Kathmandu Durbar Square,59,Jayesh M,5,3.5
Kathmandu Durbar Square,59,Fazal Mahmud Roni,54,3.5
Kathmandu Durbar Square,59,Pinkroseann,66,3.5
Kathmandu Durbar Square,59,pathfinndr,67,4
Kathmandu Durbar Square,59,Hilary H,68,4.5
Kathmandu Durbar Square,59,downhillcyclist,12,4.5
Kathmandu Durbar Square,59,annminky,14,4.5
The Crematoria,108,John W,69,0
The Crematoria,108,Carolyn W,70,1
The Crematoria,108,Rajendra K,48,0
The Crematoria,108,smvNYC,26,1
The Crematoria,108,L Pearce,71,0
The Crematoria,108,DiMka's_way,72,0
The Crematoria,108,heffflump,73,0
The Crematoria,108,Kevin B,74,0
The Crematoria,108,Greg W,75,1
The Crematoria,108,Fraser & Patrick,76,1
The Crematoria,108,Carolyn W,70,1
The Crematoria,108,Rajendra K,48,1
The Crematoria,108,DiMka's_way,72,1
The Crematoria,108,Greg W,75,0
The Crematoria,108,Fraser & Patrick,76,0
Kapan Monastery,55,Yujin L,77,4
Kapan Monastery,55,ÃÂÃÂ»ÃÂµÃÂºÃ‘ÂÃÂµÃÂ¹,78,4.5
Kapan Monastery,55,loo c,79,4.5
Kapan Monastery,55,Rahul G,80,4.5
Kapan Monastery,55,Shivi G,81,4
Kapan Monastery,55,Sightsee737349,82,4
Kapan Monastery,55,Robert W,83,3.5
Kapan Monastery,55,SF Guy,84,3.5
Kapan Monastery,55,Manoj S,85,4
Kapan Monastery,55,Rohit Chugh,86,4
Kapan Monastery,55,ÐÐ»ÐµÐºÑÐµÐ¹,87,5
Kapan Monastery,55,Sightsee737349,82,5
Kapan Monastery,55,Robert W,83,4.5
Garden of Dreams,37,John W,69,3
Garden of Dreams,37,downhillcyclist,12,3.5
Garden of Dreams,37,Carolyn W,70,4
Garden of Dreams,37,MichelleI_11,88,4
Garden of Dreams,37,SUNU PO,13,4
Garden of Dreams,37,Anurada D,89,4.5
Garden of Dreams,37,Tom B,34,4.5
Garden of Dreams,37,Rafael H,90,4
Garden of Dreams,37,Daniel Santos,91,3
Garden of Dreams,37,ratu b,20,3
Garden of Dreams,37,Michelle S,52,3
Garden of Dreams,37,Hilary H,68,3
Garden of Dreams,37,John W,69,3
Garden of Dreams,37,MichelleI_11,88,4.5
Garden of Dreams,37,Anurada D,89,4.5
Garden of Dreams,37,Rafael H,90,5
Chandragiri Hills,28,James H,42,5
Chandragiri Hills,28,tarit1979,15,5
Chandragiri Hills,28,ratu b,20,5
Chandragiri Hills,28,smvNYC,26,4.5
Chandragiri Hills,28,Mahmudul H,92,4.5
Chandragiri Hills,28,ravikhorana,93,4.5
Chandragiri Hills,28,DUGUÃƒâ€° H,94,4
Chandragiri Hills,28,Vishva_71,95,4
Chandragiri Hills,28,pepeto,96,4
Chandragiri Hills,28,kok,97,5
Chandragiri Hills,28,Chris_atc,98,5
Chandragiri Hills,28,Satish Joshi,99,4.5
Chandragiri Hills,28,James H,42,4.5
Chandragiri Hills,28,ratu b,20,3.5
Chandragiri Hills,28,DUGUÃ‰ H,100,4.5
Budhanilkantha,21,Rajendra K,48,4.5
Budhanilkantha,21,Sneha Prakash M,101,5
Budhanilkantha,21,Isabella S,102,5
Budhanilkantha,21,stroller,103,4
Budhanilkantha,21,Rahul G,80,4
Budhanilkantha,21,Sivakumar V,104,4
Budhanilkantha,21,Kamal (Singh) Thapa,105,4.5
Budhanilkantha,21,Vince E,106,3.5
Budhanilkantha,21,Leanne D,107,3.5
Budhanilkantha,21,Jayesh M,5,3.5
Budhanilkantha,21,Isabella S,102,4
Budhanilkantha,21,Sivakumar V,104,4
Budhanilkantha,21,Kamal (Singh) Thapa,105,5
Hanuman Dhoka,43,Jhon S,60,5
Hanuman Dhoka,43,AMAR S,108,5
Hanuman Dhoka,43,Dom,109,4
Hanuman Dhoka,43,fishfaceNorfolk,110,4
Hanuman Dhoka,43,Jalal Iqbal,111,4
Hanuman Dhoka,43,Suman_Manandhar,112,4.5
Hanuman Dhoka,43,BholaBanstola,113,4.5
Hanuman Dhoka,43,JiaJia,114,4.5
Hanuman Dhoka,43,barcaranger,115,4
Hanuman Dhoka,43,bojfilzagreb,116,4
Hanuman Dhoka,43,AMAR S,108,4
Hanuman Dhoka,43,Dom,109,4
Hanuman Dhoka,43,BholaBanstola,113,3.5
Hanuman Dhoka,43,barcaranger,115,4
Hanuman Dhoka,43,Ponceau E,117,4
Hanuman Dhoka,43,kirog,118,3.5
Hanuman Dhoka,43,Eimer H,119,3
Hanuman Dhoka,43,Ajay K,120,3
Hanuman Dhoka,43,Charlotte P,121,3
Hanuman Dhoka,43,Harriet A,122,3
Hanuman Dhoka,43,Tuyen N,123,4
Hanuman Dhoka,43,Estele R,124,4
Hanuman Dhoka,43,Johan F,125,4
Hanuman Dhoka,43,Vania M,126,4
Himalayan Yoga Association,46,Ponceau E,117,4
Himalayan Yoga Association,46,kirog,118,3
Himalayan Yoga Association,46,Eimer H,119,3
Himalayan Yoga Association,46,Ajay K,120,4
Himalayan Yoga Association,46,Charlotte P,121,4
Himalayan Yoga Association,46,Harriet A,122,4
Himalayan Yoga Association,46,Tuyen N,123,4
Himalayan Yoga Association,46,Estele R,124,3.5
Himalayan Yoga Association,46,Johan F,125,3.5
Himalayan Yoga Association,46,Vania M,126,3.5
Himalayan Yoga Association,46,sara b,127,4
Himalayan Yoga Association,46,Ayla,128,4
Himalayan Yoga Association,46,Anna T,129,4.5
Himalayan Yoga Association,46,Lucile S,130,4.5
Himalayan Yoga Association,46,Teju,131,4
Himalayan Yoga Association,46,Fiona M,132,4
Himalayan Yoga Association,46,Rashi S,133,4
Himalayan Yoga Association,46,Dahlia N,134,4.5
Himalayan Yoga Association,46,Daniel W,135,4.5
Himalayan Yoga Association,46,Lucy Freebird,136,3
Asan,5,CKF,137,3
Asan,5,Isabella S,102,3
Asan,5,Surendra G,138,4
Asan,5,Pravi M,139,2
Asan,5,TheOExpressÃ°Å¸ÂÂ´Ã³Â ÂÂ§Ã³Â ÂÂ¢Ã³Â ÂÂ·Ã³Â ÂÂ¬Ã³Â ÂÂ³Ã³Â ÂÂ¿Ã°Å¸â€¡Â­Ã°Å¸â€¡Â°,140,4
Asan,5,Kyale Chn,141,4
Asan,5,barcaranger,115,4
Asan,5,Alexander Pujol,142,4
Asan,5,Angiras A,143,5
Asan,5,Amal-Elyahyaoui,144,5
Asan,5,Fazal Mahmud Roni,54,4
Asan,5,CKF,137,4
Asan,5,TheOExpressðŸ´ó §ó ¢ó ·ó ¬ó ³ó ¿ðŸ‡­ðŸ‡°,145,4
Asan,5,barcaranger,115,4
Asan,5,Alexander Pujol,142,4
Dakshinkali Temple,31,ishwor dhakal,146,4
Dakshinkali Temple,31,Rahul G,80,4.5
Dakshinkali Temple,31,Jalal Iqbal,111,5
Dakshinkali Temple,31,The_Traveling_Expat,147,4.5
Dakshinkali Temple,31,rama1,148,3
Dakshinkali Temple,31,Dilip S,149,3
Dakshinkali Temple,31,Shuddho G,150,3
Dakshinkali Temple,31,Satish G,151,3.5
Dakshinkali Temple,31,ginnyg0708,152,4.5
Dakshinkali Temple,31,Pantelis_Rhodes,153,3.5
Dakshinkali Temple,31,Jalal Iqbal,111,4
Dakshinkali Temple,31,The_Traveling_Expat,147,4.5
Dakshinkali Temple,31,rama1,148,4.5
Dakshinkali Temple,31,Dilip S,149,3
Namo Buddha (Stupa),80,Abby D Citron,154,3
Namo Buddha (Stupa),80,SandFlogger,155,4
Namo Buddha (Stupa),80,Stephanie H,156,4
Namo Buddha (Stupa),80,loo c,79,4.5
Namo Buddha (Stupa),80,Been Od,157,4.5
Namo Buddha (Stupa),80,Rahul G,80,4.5
Namo Buddha (Stupa),80,Kamal (Singh) Thapa,105,4.5
Namo Buddha (Stupa),80,Edward Nelson,158,4
Namo Buddha (Stupa),80,Sarita,159,4
Namo Buddha (Stupa),80,Leanne D,107,4
Namo Buddha (Stupa),80,brian r,55,4
Namo Buddha (Stupa),80,SandFlogger,155,5
Namo Buddha (Stupa),80,Been Od,157,5
Namo Buddha (Stupa),80,Edward Nelson,158,5
Kumari Chowk,64,Nep A,160,3
Kumari Chowk,64,duhoz,161,3
Kumari Chowk,64,stroller,103,2.5
Kumari Chowk,64,loo c,79,2
Kumari Chowk,64,AZCasualTraveler,162,2
Kumari Chowk,64,Jalal Iqbal,111,2.5
Kumari Chowk,64,minnesotans4,163,2.5
Kumari Chowk,64,BholaBanstola,113,2
Kumari Chowk,64,Travelgal224466,164,2
Kumari Chowk,64,amsterdam05,165,3
Kumari Chowk,64,Fazal Mahmud Roni,54,3
Kumari Chowk,64,duhoz,161,3
Kumari Chowk,64,AZCasualTraveler,162,3
Kumari Chowk,64,minnesotans4,163,3
Kumari Chowk,64,BholaBanstola,113,3
Kumari Chowk,64,Travelgal224466,164,3
Basantapur Tower,10,Nep A,160,3
Basantapur Tower,10,Sharif Razi Al Mahmud,166,3.5
Basantapur Tower,10,Kiran S,167,3.5
Basantapur Tower,10,colonial,168,4
Basantapur Tower,10,Manoj S,85,4.5
Basantapur Tower,10,BholaBanstola,113,4
Basantapur Tower,10,Aurora S,169,3
Basantapur Tower,10,Rasheda,170,3
Basantapur Tower,10,joshmarsha,171,3
Basantapur Tower,10,C Herbert,172,3
Basantapur Tower,10,Jayesh M,5,3
Basantapur Tower,10,Kiran S,167,3.5
Basantapur Tower,10,colonial,168,3.5
Basantapur Tower,10,BholaBanstola,113,3.5
Museum of Nepali Art,75,Michelle S,52,2
Museum of Nepali Art,75,Tin100tin,173,3.5
Museum of Nepali Art,75,Cormac Brissett,174,4
Museum of Nepali Art,75,Ree,175,4
Museum of Nepali Art,75,Ethan M,176,2.5
Museum of Nepali Art,75,Sally L,177,2.5
Museum of Nepali Art,75,Kate G,178,3
Museum of Nepali Art,75,Leedstraveller66,179,3
Museum of Nepali Art,75,Jessica vaidya,180,4
Museum of Nepali Art,75,Palistha Tuladhar,181,4
Museum of Nepali Art,75,sworup A,182,4
Museum of Nepali Art,75,Shaguni Singh Sakya,183,4
Museum of Nepali Art,75,lmueller513,184,4
Museum of Nepali Art,75,Sajan S,185,2.5
Museum of Nepali Art,75,Ayush T,186,2.5
Museum of Nepali Art,75,Santosh K,187,2.5
Museum of Nepali Art,75,Kanchha L,188,2.5
Museum of Nepali Art,75,neesa,189,3
Museum of Nepali Art,75,Ayelet_Linik,190,3
Museum of Nepali Art,75,ninip2016,191,3
Jaganath Krishna Temple,48,AMAR S,108,3
Jaganath Krishna Temple,48,Rahul G,80,3
Jaganath Krishna Temple,48,Jalal Iqbal,111,3
Jaganath Krishna Temple,48,Dinesh Mahat,192,3
Jaganath Krishna Temple,48,Pradeep A,193,3
Jaganath Krishna Temple,48,Padcee,194,3.5
Jaganath Krishna Temple,48,Amal-Elyahyaoui,144,3.5
Jaganath Krishna Temple,48,NaderH,195,3.5
Jaganath Krishna Temple,48,vendig0,196,3.5
Jaganath Krishna Temple,48,Terry S,197,3.5
Jaganath(Krishna) Temple,49,AMAR S,108,3.5
Jaganath(Krishna) Temple,49,Rahul G,80,3.5
Jaganath(Krishna) Temple,49,Jalal Iqbal,111,3.5
Jaganath(Krishna) Temple,49,Dinesh Mahat,192,3
Jaganath(Krishna) Temple,49,Pradeep A,193,3
Jaganath(Krishna) Temple,49,Padcee,194,3
Jaganath(Krishna) Temple,49,Amal-Elyahyaoui,144,3
Jaganath(Krishna) Temple,49,NaderH,195,3
Jaganath(Krishna) Temple,49,vendig0,196,3
Jaganath(Krishna) Temple,49,Terry S,197,3
Narayanhiti Palace Museum,82,tarit1979,15,4
Narayanhiti Palace Museum,82,Tin100tin,173,4
Narayanhiti Palace Museum,82,Kathy C,198,5
Narayanhiti Palace Museum,82,Leedstraveller66,179,5
Narayanhiti Palace Museum,82,Dave,199,5
Narayanhiti Palace Museum,82,Pepsi,200,4.5
Narayanhiti Palace Museum,82,nitesh,201,4.5
Narayanhiti Palace Museum,82,Manoj S,85,4.5
Narayanhiti Palace Museum,82,Leanne D,107,5
Narayanhiti Palace Museum,82,BholaBanstola,113,5
Narayanhiti Palace Museum,82,Michelle,202,5
Narayanhiti Palace Museum,82,Sgrg069,51,4.5
Narayanhiti Palace Museum,82,Gautam05,3,4
Narayanhiti Palace Museum,82,Jayesh M,5,4
Narayanhiti Palace Museum,82,Tin100tin,173,4
Narayanhiti Palace Museum,82,Kathy C,198,4.5
Kala Bhairav,53,Sophia B,203,4.5
Kala Bhairav,53,RoxxyKnoxx,204,3
Kala Bhairav,53,Sharif Razi Al Mahmud,166,3
Kala Bhairav,53,jessy23goa,205,3
Kala Bhairav,53,Rahul G,80,5
Kala Bhairav,53,Jalal Iqbal,111,4
Kala Bhairav,53,SF Guy,84,4
Kala Bhairav,53,minnesotans4,163,4
Kala Bhairav,53,BholaBanstola,113,4
Kala Bhairav,53,Travelgal224466,164,4
Kala Bhairav,53,RoxxyKnoxx,204,3
Kala Bhairav,53,Jalal Iqbal,111,3
Kala Bhairav,53,minnesotans4,163,3
Kala Bhairav,53,BholaBanstola,113,3
Kala Bhairav,53,Travelgal224466,164,3
Nepal Yoga Home,86,Karen Gamus,206,3.5
Nepal Yoga Home,86,Julie C,207,3.5
Nepal Yoga Home,86,Ishwa A,208,4
Nepal Yoga Home,86,Sahara A,209,4
Nepal Yoga Home,86,Leonie marie,210,4.5
Nepal Yoga Home,86,Ð•ÐºÐ°Ñ‚ÐµÑ€Ð¸Ð½Ð° Ð‘,211,4.5
Nepal Yoga Home,86,Curry Yeung,212,3
Nepal Yoga Home,86,Hana B,213,3
Nepal Yoga Home,86,Jason D,214,3
Nepal Yoga Home,86,manon G,215,4.5
Ananda Natural Therapy,3,Bimal M,216,4
Ananda Natural Therapy,3,Girija S,217,4
Ananda Natural Therapy,3,Seanie L,218,4
Ananda Natural Therapy,3,swami ananda amrit,219,3
Ananda Natural Therapy,3,Mina P,220,3
Ananda Natural Therapy,3,Johanna-Maria F,221,3
Ananda Natural Therapy,3,Phurba G,222,3
Ananda Natural Therapy,3,Lamin L,223,3.5
Ananda Natural Therapy,3,Keshar k,224,3.5
Ananda Natural Therapy,3,Kiran L,225,3.5
Nepal Cooking School,85,Natasha T,226,4
Nepal Cooking School,85,Gillian C,227,4
Nepal Cooking School,85,Mitch,228,4.5
Nepal Cooking School,85,Niall T,229,3
Nepal Cooking School,85,Imnannoosaa,230,3
Nepal Cooking School,85,Carla,231,2
Nepal Cooking School,85,Trip J,232,2
Nepal Cooking School,85,Marie B,233,1
